"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","govern","great","nation","parti","day","freedom","upon","america","time","can","citizen","will","men","state","shall"
"2","peopl","life","let","alway","see","world","must","american","year","never","presid","side","live","constitut","right"
"3","power","thing","war","use","part","everi","case","mean","believ","act","well","forc","free","law","may"
"4","unit","new","without","unit","first","hope","thought","work","call","one","countri","make","human","now","purpos"
"5","peac","yet","just","come","million","liberti","set","faith","arm","old","today","problem","democraci","union","continu"
"6","depend","way","power","order","one","new","chang","ideal","stand","still","fellow","among","polit","one","instrument"
"7","maintain","spirit","god","democrat","support","histori","practic","task","man","justic","success","whole","women","vital","peac"
"8","hold","good","societi","centuri","determin","land","action","begin","wish","either","life","hand","know","much","servic"
"9","becom","opportun","balanc","power","mani","came","question","back","know","principl","oath","minor","individu","mere","exist"
"10","made","done","forth","now","deni","question","moral","heart","say","confid","god","renew","children","section","whether"
"11","nation","mind","make","progress","good","move","object","duti","struggl","independ","accept","divid","equal","administr","need"
"12","beyond","moral","word","earth","justic","find","requir","home","take","littl","face","fear","industri","labor","seen"
"13","think","process","dream","interest","standard","fire","speak","understand","good","given","govern","slaveri","nation","perfect","better"
"14","within","evil","help","right","sens","secur","decis","caus","help","differ","end","bring","achiev","author","amend"
"15","must","neither","control","tyranni","whose","econom","effort","group","mani","effect","speak","add","cost","written","firm"
"16","state","greater","defend","feder","famili","feel","today","ask","best","consid","strength","govern","form","perpetu","justic"
"17","offic","mani","matter","secur","nation","futur","offens","economi","last","declar","nation","greatest","word","person","truth"
"18","understand","vision","new","creat","someth","high","rememb","necess","long","presenc","believ","enemi","bodi","provis","measur"
"19","object","system","privat","econom","concern","present","ceas","carri","noth","hand","fact","fail","civil","slave","strive"
"20","achiev","bodi","true","peopl","deepli","like","put","congress","now","might","other","first","far","also","come"
